template_id,template_title,file_ext,figure_family,source_file
87,qPCR基因表达气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/87.qPCR基因表达气泡图模板.pzf
88,WB多条带气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/88.WB多条带气泡图模板.pzf
89,多因子柱状哑铃图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/89.多因子柱状哑铃图模板.pzf
9,小提琴图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/9.小提琴图模板.pzf
90,多因子两组柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/90.多因子两组柱状图模板.pzf
91,临床特征热图模板,pzf,heatmap,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/91.临床特征热图模板.pzf
92,WB条带折线图模板,pzf,line,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/92.WB条带折线图模板.pzf
93,CCK8柱状图模板,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/93.CCK8柱状图模板.pzf
94,WB多指标柱状图,pzf,bar,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/94.WB多指标柱状图.pzf
95,带误差棒云雨图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/95.带误差棒云雨图模板.pzf
96,多因子水彩箱线图模板,pzf,violin_box,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/96.多因子水彩箱线图模板.pzf
97,MTT细胞活性气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/97.MTT细胞活性气泡图模板.pzf
98,渐变火山图模板,pzf,other,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/98.渐变火山图模板.pzf
99,GO分析富集气泡图模板,pzf,scatter,/nas/jhp/projects/bioinformatics/docs/references/1-111号模板/1-111号模板/99.GO分析富集气泡图模板.pzf
